SepHash,1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,4-1,4-2,4-3,4-4,8-1,8-2,8-3,8-4,16-1,16-2,16-3,16-4,32-1,32-2,32-3,32-4,64-1,64-2,64-3,64-4,128-1,128-2,128-3,128-4
throughputs,186.9,308.3,383.05,417.42,324.65,510.26,598.4,633.14,434.96,621.98,676.2,677.47,561.21,738.4,859.94,858.36,695.44,766.08,850.61,989.39,1629.41,1979.74,2159.6,2607.1,3245.28,5327.79,4953.18,4973.84,5714.86,9463.29,9055.53,10301.29
median latency,4.495,4.933,5.569,6.18,4.702,6.286,7.497,11.601,5.917,8.181,11.616,14.413,8.445,13.409,18.083,24.504,12.387,22.309,31.726,42.48,18.69,33.966,50.7545,69.662,29.056,55.866,91.323,138.174,63.416,125.534,197.777,268.812
average latency,5.204479344,6.501123291,7.631916306,9.121855226,5.827990407,8.508959373,9.901237133,15.42198665,8.143525441,11.04660366,16.64605383,19.54119886,11.71085852,18.62390158,26.35683225,34.59444314,17.7371928,29.20104945,41.97720422,58.96887736,25.56899331,44.61888383,66.03442963,93.83018032,39.15751098,75.32197522,125.0865678,189.7753506,82.22013127,166.1405734,260.2188674,374.1799076
P1 latency,4.197,4.329,4.482,4.903,4.342,4.576,4.747,6.256,4.7,5.078,5.965,6.635,5.269,6.489,7.466,8.873,6.443,8.597,10.369,12.747,7.641,10.883,14.128,18.092,9.294,15.156,23.928,39.035,16.056,36.15,58.095,78.62746
P10 latency,4.379,4.466,4.741,5.317,4.476,4.837,5.139,7.323,4.996,5.62,6.925,7.812,5.893,7.694,9.241,11.99,7.481,11.565,15.438,19.848,9.707,16.547,23.783,31.572,13.99,25.53,40.962,63.88,22,58.562,94.868,94.117
P99 latency,12.42699,43.765,46.566,50.57,20.133,49.49,52.6,72.02699,48.115,55.16399,80.117,75.566,65.505,83.12699,99.00515,129.288,96.358,92.698,124.716,188.26898,95.155,120.653,182.485,259.61499,116.593,237.63597,403.06263,512.946,222.62599,443.554,705.338,989.126
P999 latency,22.389999,67.531997,73.927,94.694993,28.389999,80.494,89.004027,126.958999,40.473,96.551998,232.144003,128.997999,132.074993,219.535999,268.487135,461.52499,205.342,163.206994,207.60715,663.693979,217.990995,215.414997,325.917441,657.04998,228.416997,516.002995,833.217197,1141.4027,370.789986,836.093795,2557.70255,5461.59224
P9999 latency,124.7569998,128.9109987,132.844,143.6139985,128.4759999,157.1189993,156.3000183,253.3339903,148.0769998,193.3069958,1111.650087,1034.959299,256.652901,1111.059994,2224.77729,10092.59969,603.1949739,3494.158386,21203.31095,29396.19924,10304.3985,25816.89543,35419.3063,47726.79847,22596.59865,41984.29832,70284.00504,101856.2286,53491.9999,92854.65461,138677.102,180975.0127
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RACE,1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,4-1,4-2,4-3,4-4,8-1,8-2,8-3,8-4,16-1,16-2,16-3,16-4,32-1,32-2,32-3,32-4,64-1,64-2,64-3,64-4,128-1,128-2,128-3,128-4
