RACE,SepHash,CLevel,Plush
0.361037,0.875315,0.203422,0.28512
0.397141,0.897115,0.223764,0.313632
0.433244,0.896891,0.244106,0.342144
0.469348,0.930651,0.264448,0.076248
0.505452,0.896522,0.28479,0.082113
0.541555,0.933915,0.305132,0.087978
0.577659,0.896232,0.325454,0.093422
0.613763,0.94295,0.345796,0.097944
0.649866,0.92198,0.366138,0.102946
0.68597,0.944438,0.386481,0.107407
0.722074,0.931052,0.406823,0.110815
0.758177,0.940346,0.427165,0.113932
0.746421,0.943666,0.447507,0.116762
0.663627,0.936865,0.467849,0.119632
0.495029,0.95416,0.488191,0.122709
0.451312,0.943062,0.508513,0.126333
0.469365,0.95449,0.528855,0.129543
0.487417,0.952556,0.549198,0.134183
0.50547,0.954777,0.56954,0.138449
0.523522,0.960713,0.589882,0.143031
0.541575,0.955028,0.610204,0.147777
0.559627,0.960604,0.630546,0.152703
0.57768,0.951685,0.650888,0.157628
0.595732,0.963916,0.67123,0.162554
0.613785,0.962124,0.691572,0.167348
0.631837,0.966859,0.711914,0.17177
0.64989,0.961957,0.732257,0.176567
0.667942,0.963411,0.752599,0.181329
0.685995,0.970705,0.772941,0.185314
0.704047,0.966099,0.793283,0.18907
0.7221,0.970157,0.406862,0.192514
0.740152,0.960209,0.417024,0.194925
0.758205,0.969658,0.427195,0.197175
0.776257,0.96547,0.437367,0.199103
0.746446,0.966624,0.447539,0.201715
0.683288,0.975243,0.457711,0.205291
0.577295,0.968781,0.467883,0.207835
0.476239,0.976979,0.478044,0.210136
0.454537,0.97076,0.488216,0.21278
0.449302,0.980851,0.498388,0.216308
0.451321,0.965747,0.50856,0.219451
0.460347,0.977856,0.518731,0.222776
0.469373,0.9699,0.528903,0.226165
0.4784,0.97506,0.539075,0.230066
0.487426,0.979988,0.549247,0.234407
0.496453,0.972444,0.559419,0.238747
0.505479,0.979283,0.56959,0.242987
0.514505,0.971995,0.289902,0.247154
0.523532,0.976678,0.294988,0.250933
0.532558,0.977353,0.300074,0.254819
0.541585,0.978005,0.30516,0.257766
0.550611,0.978636,0.310246,0.261129
0.559637,0.979247,0.315332,0.264161
0.568664,0.979839,0.320418,0.266858
0.57769,0.976878,0.325504,0.269759
0.586717,0.982698,0.141686,0.27265
0.595743,0.979798,0.143866,0.274103
0.60477,0.983707,0.146046,0.275746
0.613796,0.979218,0.148225,0.278195
0.622822,0.97976,0.150405,0.280523
