insert-search : 10% : 90%				
	128-1	128-2	128-3	128-4
race	38745.28	38392.86	38126.79	43430.29
sephash	33324.55	23393.16	34219.85	32528.72
Clevel	5636.42	5394.79	8376.28	13154.03
Plush	5179.04	4454.97	5667.68	8758.2

insert-search : 30% : 70%				
	128-1	128-2	128-3	128-4
race	28256.879999999997	30293.43	25652.67	21373.07
sephash	24741.47	14790.61	23668.89	21464.19
Clevel	7011.33	6740.07	6015.09	6835.85
Plush	5276.08	4836.88	4872.92	3616.72

insert-search : 50% : 50%				
	128-1	128-2	128-3	128-4
race	2263.71	1770.82	1468.3	928.4
sephash	14925.88	17194.45	18453.72	13123.39
Clevel	6330.85	6943.72	7544.2	7936.3
Plush	5024.1	4906.8	4316	3858


insert-search : 30% : 70%				
	128-1	128-2	128-3	128-4
race	2198.6	1007.56	645.77	366.55
sephash	16315.32	11457.41	16415.57	12931.95
Clevel	5540.13	5540.63	5859.08	6729.94
Plush	4966.56	3236.74	2755.7	2419.1


insert-search : 90% : 10%				
	128-1	128-2	128-3	128-4
race	2181.15	643.25	539.56	431.49
sephash	16154.81	14006.63	11138.43	15787.39
Clevel	5001.69	4655.24	6300.84	12209.47
Plush	5738.42	2930.96	2720.24	2322.62
